,Restaurant_name,Reviews,Trustscore,Zip_code,City,Checkout
0,Cater Nation,533,4.9,23113,Midlothian,https://trustpilot.com/review/caternation.com
1,Whidbey Island Seafood Company,300,4.9,98249,Freeland,https://trustpilot.com/review/whidbeyseafoods.com
2,ezCater,13378,4.8,2109,Boston,https://trustpilot.com/review/www.ezcater.com
3,SimplyOz.com,1390,4.8,45040,Cincinnati Ohio,https://trustpilot.com/review/simplyoz.com
4,Balkanfresh,74,4.8,,,https://trustpilot.com/review/www.balkanfresh.com
5,Burgers' Smokehouse,14333,4.7,65018,California,https://trustpilot.com/review/smokehouse.com
6,Freshly,5872,4.7,,,https://trustpilot.com/review/freshly.com
7,Popcornopolis,4131,4.7,90058,Vernon,https://trustpilot.com/review/popcornopolis.com
8,Cameron's Seafood,2520,4.7,20850,Rockville,https://trustpilot.com/review/cameronsseafood.com
9,ReBuilt Meals,204,4.7,,,https://trustpilot.com/review/rebuiltmeals.com
10,Frozen Garden,170,4.7,46383,Valparaiso,https://trustpilot.com/review/www.thefrozengarden.com
11,Tablebases.com,126,4.7,95006,Boulder Creek,https://trustpilot.com/review/tablebases.com
12,Simpalo Snacks,120,4.7,80524,Fort Collins,https://trustpilot.com/review/simpalosnacks.com
13,Farm to Fork Meals,69,4.7,33334,Oakland Park,https://trustpilot.com/review/farmtoforkmeals.com
14,Top Chef Meals,3375,4.6,10523,Elmsford,https://trustpilot.com/review/topchefmeals.com
15,JB Prince Company,2505,4.6,10016,New York,https://trustpilot.com/review/www.jbprince.com
16,LaBoutiquedesChefs,1600,4.6,14120,Mondeville,https://trustpilot.com/review/laboutiquedeschefs.com
17,Crab Dynasty,963,4.6,21817,Crisfield,https://trustpilot.com/review/www.crabdynasty.com
18,California Delicious,634,4.6,94801,Richmond,https://trustpilot.com/review/californiadelicious.com
19,Macro Mediterranean Holistic Meal Delivery,136,4.6,2155,Medford,https://trustpilot.com/review/macro-mediterranean.com
20,Wiens Wagyu,96,4.6,67864,Meade,https://trustpilot.com/review/wienswagyu.com
21,Umble Burgers,24,4.6,77338,Humble,https://trustpilot.com/review/umbleburgers.com
22,Cjacketpotato,23,4.6,2136,Hyde Park,https://trustpilot.com/review/cjacketpotato.com
23,Fit Food Fresh,22,4.6,33432,Boca Raton,https://trustpilot.com/review/fitfoodfresh.com
24,Munchery,962,4.5,,,https://trustpilot.com/review/www.munchery.com
25,Farm Direct,880,4.5,N51XG,London,https://trustpilot.com/review/www.farm-direct.com
26,Culinary Depot,141,4.5,10952,Monsey,https://trustpilot.com/review/culinarydepotinc.com
27,newyorkgrocery,130,4.5,10003,New York,https://trustpilot.com/review/www.newyorkgrocery.com
28,7shifts,79,4.5,S7K1K6,Saskatoon,https://trustpilot.com/review/www.7shifts.com
29,healthygourmet.com,13,4.5,77066,Houston,https://trustpilot.com/review/healthygourmet.com
30,HelloFresh US,34507,4.4,,,https://trustpilot.com/review/hellofresh.com
31,Vizilok,161,4.4,11235,New York,https://trustpilot.com/review/vizilok.com
32,Superiorseating,113,4.4,7033,Kenilworth,https://trustpilot.com/review/superiorseating.com
33,Yumble,81,4.4,10013,New York,https://trustpilot.com/review/yumblekids.com
34,Hellooma,23,4.4,,,https://trustpilot.com/review/hellooma.com
35,Green Is Better Saladbars,12,4.4,10001,New York City,https://trustpilot.com/review/www.greenbusinessonly.com
36,Factor_,8429,4.3,60510,Batavia,https://trustpilot.com/review/factor75.com
37,eMeals,1277,4.3,,,https://trustpilot.com/review/www.emeals.com
38,AllPoints Foodservice Parts & Supplies,810,4.3,60056,Mt Prospect,https://trustpilot.com/review/allpointsfps.com
39,Sensibus,333,4.3,94005,Brisbane,https://trustpilot.com/review/www.sensibus.com
40,The Hatch Chile Store,118,4.3,88007,Las Cruces,https://trustpilot.com/review/hatch-green-chile.com
41,My Cuistot,82,4.3,10065,New York,https://trustpilot.com/review/mycuistot.fr
42,MCL Restaurant & Bakery,24,4.3,46220,Indianapolis,https://trustpilot.com/review/mclhomemade.com
43,Burgerim Humble,12,4.3,77338,Humble,https://trustpilot.com/review/burgerimhumble.com
44,Cater Boom,9,4.3,23517,Norfolk,https://trustpilot.com/review/caterboom.com
45,Tough Cookies Meal Prep,7,4.3,2339,Hanover,https://trustpilot.com/review/toughcookies.com
46,EveryPlate,18306,4.2,75050,Grand Prairie,https://trustpilot.com/review/everyplate.com
47,Maine Lobster Now®,3060,4.2,4102,Portland,https://trustpilot.com/review/www.mainelobsternow.com
48,Foodler,2127,4.2,,,https://trustpilot.com/review/foodler.com
49,Send a Meal,895,4.2,80424,Breckenridge,https://trustpilot.com/review/sendameal.com
